Ecell/V,I/mA,Capacity/mA.h
4.0068,-2862.5291,8257.3319
4.0058,-2860.7563,8297.4912
4.0047,-2860.7563,8341.5226
4.0037,-2860.1658,8385.3904
4.0027,-2861.5444,8430.4137
4.0017,-2861.9382,8476.6963
4.0006,-2861.1504,8523.2863
3.9996,-2861.3474,8571.9604
3.9995,-2860.7563,8582.2403
4.0025,0,8582.2403
4.0035,0,8582.2403
4.0045,0,8582.2403
4.0056,0,8582.2403
4.0066,0,8582.2403
4.0045,-2859.9688,8582.2419
4.0035,-2861.5444,8585.7072
4.0025,-2860.7563,8596.537
4.0014,-2862.5291,8611.808
4.0004,-2861.9382,8633.5961
3.9994,-2860.5593,8662.2288
3.9984,-2861.3474,8696.2928
3.9973,-2861.3474,8734.6819
3.9963,-2859.9688,8775.3489
3.9953,-2862.332,8819.0757
3.9943,-2860.9534,8862.0741
3.9932,-2862.135,8909.4263
3.9922,-2860.1658,8955.1299
3.9912,-2860.7563,9003.6234
3.9902,-2862.332,9049.6154
3.9902,-2861.7412,9059.0337
3.9932,0,9059.0337
3.9942,0,9059.0337
3.9952,0,9059.0337
3.9962,0,9059.0337
3.9973,0,9059.0337
3.9954,-2861.5444,9059.0353
3.9944,-2862.135,9061.2543
3.9934,-2861.3474,9070.1497
3.9923,-2862.135,9084.672
3.9913,-2861.1504,9105.3999
3.9903,-2861.3474,9131.4558
3.9893,-2860.7563,9162.5124
3.9882,-2860.1658,9201.8759
3.9872,-2860.9534,9239.9935
3.9862,-2861.5444,9285.2292
3.9852,-2861.1504,9328.9867
3.9842,-2862.332,9374.8316
3.9831,-2860.7563,9422.9055
3.9821,-2860.5593,9470.8266
3.9811,-2862.332,9519.725
3.9808,-2860.9534,9535.8299
3.9838,0,9535.8299
3.9849,0,9535.8299
3.9859,0,9535.8299
3.9869,0,9535.8299
3.9879,0,9535.8299
3.989,0,9535.8299
3.986,-2860.9534,9535.8315
3.985,-2860.9534,9539.0775
3.9839,-2861.7412,9549.173
3.9829,-2861.1504,9565.4885
3.9819,-2862.332,9586.7364
3.9808,-2861.9382,9615.5932
3.9798,-2861.7412,9649.6128
3.9788,-2862.332,9687.2424
3.9778,-2860.9534,9729.2465
3.9767,-2861.3474,9772.8191
3.9757,-2860.5593,9817.5951
3.9747,-2862.135,9864.188
3.9737,-2861.7412,9912.072
3.9727,-2861.1504,9958.1327
3.9716,-2861.1504,10009.386
3.9718,-2861.3474,10012.6271
3.9746,0,10012.6271
3.9756,0,10012.6271
3.9767,0,10012.6271
3.9777,0,10012.6271
3.9787,0,10012.6271
3.9797,0,10012.6271
3.9769,-2860.9534,10012.6287
3.9759,-2861.7412,10015.1563
3.9749,-2860.1658,10025.3667
3.9739,-2860.9534,10040.2236
3.9728,-2861.5444,10061.5861
3.9718,-2861.9382,10088.0224
3.9708,-2859.7717,10121.5591
3.9697,-2861.7412,10160.0857
3.9687,-2861.3474,10202.1013
3.9677,-2861.9382,10246.5296
3.9667,-2861.7412,10290.3538
3.9656,-2860.3623,10338.2649
3.9646,-2860.5593,10386.0548
3.9636,-2861.3474,10435.2899
3.9626,-2860.3623,10480.2461
3.9626,-2860.9534,10489.4275
3.9656,0,10489.4275
3.9666,0,10489.4275
3.9676,0,10489.4275
3.9686,0,10489.4275
3.9697,0,10489.4275
3.9707,0,10489.4275
3.9679,-2860.7563,10489.429
3.9669,-2861.1504,10492.4493
3.9658,-2862.332,10502.6307
3.9648,-2861.5444,10517.9528
3.9638,-2860.3623,10538.0244
3.9627,-2860.7563,10567.0977
3.9617,-2860.1658,10599.3406
3.9607,-2861.3474,10639.013
3.9597,-2861.5444,10679.5848
3.9586,-2861.7412,10724.2575
3.9576,-2861.3474,10771.108
3.9566,-2860.7563,10817.9889
3.9556,-2860.7563,10864.9588
3.9545,-2862.135,10911.8206
3.9535,-2860.5593,10964.429
3.9536,-2861.7412,10966.2236
3.9566,0,10966.2236
3.9576,0,10966.2236
3.9587,0,10966.2236
3.9597,0,10966.2236
3.9607,0,10966.2236
3.9617,0,10966.2236
3.9591,-2861.3474,10966.2252
3.958,-2861.1504,10968.3743
3.957,-2860.1658,10978.2535
3.956,-2860.7563,10992.4021
3.955,-2860.9534,11011.1953
3.9539,-2860.7563,11039.8152
3.9529,-2861.9382,11071.2117
3.9519,-2862.5291,11108.5736
3.9509,-2861.7412,11151.176
3.9499,-2860.7563,11194.7625
3.9488,-2860.5593,11239.8108
3.9478,-2861.3474,11286.5891
3.9468,-2862.5291,11334.4247
3.9458,-2861.1504,11384.3017
3.9447,-2862.135,11430.799
3.9448,-2860.9534,11443.0262
3.9477,0,11443.0262
3.9487,0,11443.0262
3.9498,0,11443.0262
3.9508,0,11443.0262
3.9518,0,11443.0262
3.9528,0,11443.0262
3.9501,-2861.3474,11443.0278
3.9491,-2860.3623,11446.1195
3.9481,-2861.1504,11455.7411
3.9471,-2861.1504,11470.2174
3.946,-2861.9382,11491.0406
3.945,-2861.1504,11517.6098
3.944,-2859.9688,11550.8025
3.943,-2861.5444,11587.9357
3.9419,-2862.9229,11629.9882
3.9409,-2861.1504,11672.6037
3.9399,-2860.5593,11720.1373
3.9389,-2862.135,11766.488
3.9378,-2861.1504,11814.1979
3.9368,-2861.5444,11865.0677
3.9358,-2860.5593,11915.6161
3.9359,-2861.1504,11919.8173
3.9388,0,11919.8173
3.9399,0,11919.8173
3.9409,0,11919.8173
3.9419,0,11919.8173
3.943,0,11919.8173
3.944,0,11919.8173
3.9413,-2861.3474,11919.8188
3.9402,-2860.5593,11923.5751
3.9392,-2861.5444,11933.8008
3.9382,-2861.9382,11948.061
3.9372,-2861.3474,11969.7089
3.9361,-2862.135,11996.4929
3.9351,-2861.7412,12030.3571
3.9341,-2861.3474,12068.51
3.9331,-2860.9534,12108.4781
3.9321,-2860.5593,12152.4533
3.931,-2861.7412,12199.5781
3.93,-2860.9534,12247.1476
3.929,-2860.3623,12295.9555
3.928,-2860.7563,12344.193
3.9269,-2861.1504,12395.3572
3.9271,-2861.1504,12396.6224
3.93,0,12396.6224
3.931,0,12396.6224
3.9321,0,12396.6224
3.9331,0,12396.6224
3.9341,0,12396.6224
3.9351,0,12396.6224
3.9327,-2861.9382,12396.624
3.9317,-2861.3474,12399.3581
3.9307,-2860.1658,12408.9292
3.9297,-2861.1504,12422.6332
3.9286,-2860.9534,12442.9561
3.9276,-2860.3623,12468.6645
3.9265,-2861.3474,12501.4973
3.9255,-2861.1504,12539.5043
3.9245,-2862.5291,12582.6346
3.9234,-2861.5444,12627.5559
3.9224,-2862.5291,12672.0261
3.9214,-2860.1658,12719.019
3.9204,-2861.7412,12767.1582
3.9193,-2860.5593,12816.0972
